Date,Open,High,Low,Close,Adj Close,Volume,Name
15-04-2019,178.5,180.5,176.869995,179.649994,179.649994,10834800,FB
15-04-2019,1218,1224.199951,1209.109985,1221.099976,1221.099976,1187400,GOOG
15-04-2019,350.709991,352.209991,342.269989,348.869995,348.869995,8842300,NFLX
15-04-2019,268.630005,268.880005,258.630005,266.380005,266.380005,10038600,TSLA
12-04-2019,199.199997,200.139999,196.210007,198.869995,198.107086,27760700,AAPL
12-04-2019,1848.400024,1851.5,1841.300049,1843.060059,1843.060059,3114400,AMZN
12-04-2019,178,179.630005,177.949997,179.100006,179.100006,12329800,FB
12-04-2019,1210,1218.349976,1208.109985,1217.869995,1217.869995,933400,GOOG
12-04-2019,360.690002,361.75,349.359985,351.140015,351.140015,15646200,NFLX
12-04-2019,270.220001,271.950012,266.829987,267.700012,267.700012,6746000,TSLA
11-04-2019,200.850006,201,198.440002,198.949997,198.186783,20900800,AAPL
11-04-2019,1848.699951,1849.949951,1840.310059,1844.069946,1844.069946,2654800,AMZN
11-04-2019,178.240005,178.399994,177,177.509995,177.509995,8071000,FB
11-04-2019,1203.959961,1207.959961,1200.130005,1204.619995,1204.619995,710200,GOOG
11-04-2019,365,370.119995,360.809998,367.649994,367.649994,6526900,NFLX
11-04-2019,268.299988,270.5,265.600006,268.420013,268.420013,9835900,TSLA
10-04-2019,198.679993,200.740005,198.179993,200.619995,199.850372,21695300,AAPL
10-04-2019,1841,1848,1828.810059,1847.329956,1847.329956,2964000,AMZN
10-04-2019,178.179993,178.789993,176.539993,177.820007,177.820007,11701500,FB
10-04-2019,1200.680054,1203.785034,1196.435059,1202.160034,1202.160034,724600,GOOG
10-04-2019,365.790009,368.850006,362.25,363.920013,363.920013,4545600,NFLX
10-04-2019,276.73999,278.380005,272.890015,276.059998,276.059998,7061300,TSLA
09-04-2019,200.320007,202.850006,199.229996,199.5,198.73468,35768200,AAPL
09-04-2019,1845.48999,1853.089966,1831.780029,1835.839966,1835.839966,3714400,AMZN
09-04-2019,175.619995,179.190002,175.550003,177.580002,177.580002,19751000,FB
09-04-2019,1196,1202.290039,1193.079956,1197.25,1197.25,876400,GOOG
09-04-2019,360.540009,366.73999,359,364.709991,364.709991,5439200,NFLX
09-04-2019,271.649994,275,269.609985,272.309998,272.309998,5904000,TSLA
08-04-2019,196.419998,200.229996,196.339996,200.100006,199.332382,25881700,AAPL
08-04-2019,1833.22998,1850.199951,1825.109985,1849.859985,1849.859985,3752800,AMZN
08-04-2019,175.210007,175.5,174.229996,174.929993,174.929993,7297400,FB
08-04-2019,1207.890015,1208.689941,1199.859985,1203.839966,1203.839966,860200,GOOG
08-04-2019,365.109985,365.940002,359.929993,361.410004,361.410004,4653800,NFLX
08-04-2019,277.690002,281.160004,270.440002,273.200012,273.200012,10410400,TSLA
05-04-2019,196.449997,197.100006,195.929993,197,196.244263,18526600,AAPL
05-04-2019,1829,1838.579956,1825.189941,1837.280029,1837.280029,3640500,AMZN
05-04-2019,176.880005,177,175.100006,175.720001,175.720001,9594100,FB
05-04-2019,1214.98999,1216.219971,1205.030029,1207.150024,1207.150024,907200,GOOG
05-04-2019,369,369.799988,364.660004,365.48999,365.48999,3905500,NFLX
05-04-2019,269.859985,276.100006,266.109985,274.959991,274.959991,13038300,TSLA
04-04-2019,194.789993,196.369995,193.139999,195.690002,194.939301,19114300,AAPL
04-04-2019,1820.650024,1828.75,1804.199951,1818.859985,1818.859985,3623900,AMZN
04-04-2019,176.020004,178,175.529999,176.020004,176.020004,17847700,FB
04-04-2019,1205.939941,1215.670044,1204.130005,1215,1215,950000,GOOG
04-04-2019,370.070007,372.049988,362.399994,367.880005,367.880005,4627300,NFLX
04-04-2019,261.890015,271.200012,260.589996,267.779999,267.779999,23720700,TSLA
03-04-2019,193.25,196.5,193.149994,195.350006,194.600601,23271800,AAPL
03-04-2019,1826.719971,1830,1809.619995,1820.699951,1820.699951,3980600,AMZN
03-04-2019,174.5,177.960007,172.949997,173.539993,173.539993,27590100,FB
03-04-2019,1207.47998,1216.300049,1200.5,1205.920044,1205.920044,1017800,GOOG
03-04-2019,369.26001,373.410004,366.190002,369.75,369.75,5376600,NFLX
03-04-2019,287.320007,296.170013,287.170013,291.809998,291.809998,7929900,TSLA
02-04-2019,191.089996,194.460007,191.050003,194.020004,193.275696,22765700,AAPL
